;company_name;grant;Направление;revenue_2020 (тыс руб);revenue_2021 (тыс руб)
374;"ОБЪЕДИНЕНИЕ КОГНИТИВНЫХ АССОЦИАТИВНЫХ СИСТЕМ""";40056790;;;
375;"ПОДБОР КАНДИДАТОВ""";30817300;;;
376;"ЭНСИ""";97166813;;;
377;"ЛИМАН-ТРЕЙД""";33064198;;;
378;"АВТОДОРИЯ""";55032212;;;
379;"ДИДЖИТАЛАУТОСИСТЕМС""";40448162;;;
380;"УНИВЕРСИТЕТ ИННОПОЛИС""";48831772;;;
381;"ИНТЕЛЛЕКТУАЛЬНЫЕ ЛОГИСТИЧЕСКИЕ СИСТЕМЫ""";104009334;;;
382;"НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ""БИЗНЕСАВТОМАТИКА""";51435407;;;
383;"ОРИГИНАЛ СОФТ""";39729418;;;
384;"ГЕОНАВИГАЦИОННЫЕ ТЕХНОЛОГИИ""";25307223;;;
385;"РТСОФТ-СМАРТ ГРИД""";60761792;;;
386;"ПРОСОФТ-СИСТЕМЫ""";50502920;;;
387;"БИМЭЙСТЕР""";74871065;;;
388;"КОМПЛЕКСНЫЕ СИСТЕМЫ МОНИТОРИНГА""";52819443;;;
389;"ВОЙС КОММЬЮНИКЭЙШН""";59343171;;;
390;"РТ КИС""";119275344;;;
391;"ЛАБОРАТОРИЯ НАНОСЕМАНТИКА""";47165084;;;
392;"БАЗАЛЬТ СВОБОДНОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ""";69719802;;;
393;"ОБЪЕДИНЕННОЕ ИТ ПРОСТРАНСТВО""";39475416;;;
394;"РУСИЕМ""";61289446;;;
395;"СК-СХД""";114350894;;;
396;"БЭНКС СОФТ СИСТЕМС""";68294346;;;
397;"Гемоскан""";3000000;;;
398;"ДАБ ДАБ""";3000000;;;
399;"ЛЕЙТЕНСИ ЭДЖ""LatencyEdge – универсальная система построения отчетов для рынка торгов рекламой в реальном времени в Интернете (RTB-рынок) со свободным распространением и открытым исходным кодом (open source)город МоскваРазработка3 000 000,003 000 000,004ООО ""ИСКИН""";3000000;;;
400;"ИСКИН""";3000000;;;
401;"ВТОРОЙ ПИЛОТ""";3000000;;;
402;"АТМИСС""";3000000;;;
403;"АПИК""";3000000;;;
404;"ЛАБОРАТОРИЯ КОМПЬЮТЕРНОГО ЗРЕНИЯ""";3000000;;;
405;"Дореме тех""";3000000;;;
406;"КОД""";3000000;;;
407;"АИД""";3000000;;;
408;"ЦСТ""";3000000;;;
409;"ПИРС""";3000000;;;
410;"СЕРВИС АП""";3000000;;;
411;"КАСТОМАЙЗЕР""";3000000;;;
412;"ВИЗИУМТЕКС""";3000000;;;
413;"НТЦ ""СОФТ БРИЗ""";3000000;;;
414;"РТМ-ТЕХНОЛОГИИ""";3000000;;;
415;"ФОРВАРД КАПИТАЛ""";2952000;;;
416;"АЙ-КУБ""";3000000;;;
417;"ХОРАЙЗОН ТЕКНОЛОДЖИС""создание обучающих персонализированных аудиоэфировгород МоскваРазработка3 000 000,003 000 000,0022ООО ""ФИНИСТ""";3000000;;;
418;"ФИНИСТ""";3000000;;;
419;"АГРОИНТЕЛЛЕКТВИМ""";3000000;;;
420;"Митфлоус""";3000000;;;
421;"ББШК""";3000000;;;
422;"ГОРОДСКАЯ КАРТОГРАФИЧЕСКАЯ СИСТЕМА""";3000000;;;
423;"КИБЕРВОЙС""";3000000;;;
424;"ВИ ЭКС""";3000000;;;
425;"ПАРАЛЛАКС СОФТВЕР ДЕВЕЛОПМЕНТ""";3000000;;;
426;"ЛАБОРАТОРИЯ ДАННЫХ""";3000000;;;
427;"ЦИФРОВОЙ ЭКОМОНИТОРИНГ""";3000000;;;
428;"ОПП""";3000000;;;
429;"СТАРТ ЭКСПЕРТ""";3000000;;;
430;"НТЦ ПРОЭКЗО""";3000000;;;
431;"КЛОНАР""";3000000;;;
432;"НОБЕЛЬ БЛЮ""DrugIndicatorAI - анализ новых клинических показаний лекарств на основе методов ИИ, для ускоренного поиска эффективных методов лечения инфекционных и других болезней в условиях прогнозируемого роста заболеваемостигород МоскваРазработка3 000 000,003 000 000,0037ООО ""АРТЕФАКТ: ЦИФРОВЫЕ ТЕХНОЛОГИИ""";3000000;;;
433;"АРТЕФАКТ: ЦИФРОВЫЕ ТЕХНОЛОГИИ""";3000000;;;
434;"СТУДИЯ 42""";2620172;;;
435;"СПОРТ-АЙТИ""";3000000;;;
436;"СИВИЭЙ ТЕХНОЛОДЖИЕС""";3000000;;;
437;"Мувиз""";3000000;;;
438;"Альма Матер""";3000000;;;
439;"ПИКВАРИО""";3000000;;;
440;"МАС""PVRtech - портативный аппаратно-программный комплекс для диагностики зрения с возможностью реализации принципа телемедицины.город МоскваРазработка3 000 000,003 000 000,0045ООО ""ТЕН.ЛАБ""";3000000;;;
441;"ТЕН.ЛАБ""";2750000;;;
442;"ИРПСУ""";2749320;;;
443;"ИКС РЕД ГРУПП""";3000000;;;
444;"НПФ ""ИнтеллекттехНН""";3000000;;;
445;"СКАН ГРАФ""";3000000;;;
446;"МИП ""ЦДЗ""";3000000;;;
447;"ДЖОБФОРС АНАЛИТИКС""";3000000;;;
448;"ДЖЕНЕРЕЙШН УАН (ГО)""";3000000;;;
449;"СКАУТ""";3000000;;;
450;"ХИНТЕД""";3000000;;;
451;"ТРАНСНЕТИКА-СЕРВИС""";3000000;;;
452;"ХИМПРОМ""";132841198;;;
453;"НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭЛЕКТРОМАШИНА""";112970490;;;
454;"РАЗРЕЗ ТУГНУЙСКИЙ""";84562346;;;
455;"КАМЕНСК-УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";24320000;;;
456;"НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""РУБИН""";20500000;;;
457;"ОБЪЕДИНЕННАЯ ДВИГАТЕЛЕСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""";162716646;;;
458;"ОСОБАЯ ЭКОНОМИЧЕСКАЯ ЗОНА ""ИННОПОЛИС""";63849836;;;
459;"КОМОС ГРУПП""";120000000;;;
460;"РИМЕРА-АЛНАС""";35000000;;;
461;"ТЕПЛИЧНОЕ""";136386261;;;
462;"ОДК-САТУРН""";28947084;;;
463;"СРЕДНЕВОЛЖСКАЯ МЕЖРЕГИОНАЛЬНАЯ АССОЦИАЦИЯ РАДИОТЕЛЕКОММУНИКАЦИОННЫХ СИСТЕМ""";226761346;;;
464;"ГОСУДАРСТВЕННЫЙ КОСМИЧЕСКИЙ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ИМЕНИ М.В. ХРУНИЧЕВА""";23721070;;;
465;"БЕЛГОРОДСКИЙ ОБЛАСТНОЙ ВОДОКАНАЛ""";211073215;;;
466;"ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНАИнтегрированная цифровая платформа для геолого-технологического мониторинга разработки нефтегазовых месторожденийРеспублика ТатарстанВнедрение268 800 000,00381 000 000,0016АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ ""ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ М.В. КЕЛДЫША""";268800000;;;
467;"ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ ""ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ М.В. КЕЛДЫША""";83872077;;;
468;ТАНЕКО;54 144 106;Внедрение новых цифровых технологий;49 112 286;91 151 391
469;МОСТОСТРОЙ;116 976 685;Внедрение новых цифровых технологий;4 777;4 894
470;Акционерное общество «Апатит»;48 000 000;Внедрение новых цифровых технологий;214 124 018;361 641 400
471;Акционерное общество «ОЭЗ ППТ «Алабуга»;20 301 397;Внедрение новых цифровых технологий;1 577 602;2 484 525
472;АО «СЕТЕВАЯ КОМПАНИЯ АЛТАЙКРАЙЭНЕРГО»;20 291 143;Внедрение новых цифровых технологий;5 815 010;6 401 220
